Source Name,Village,Parish,Sub county ,County,District,GPS Location,Lab Identifier Code,Electrical Conductivity,pH ,Turbidity,Color (Apparent),Total Alkalinity ,Total hardness ,Calcium Hardardness ,Flouride,Nitrites ,Sulphate ,Ammonium-N ,Chloride ,Phosphates-P ,Nitrates,Sodium ,Potassium ,Iron ,Free Chlorine,Total Chlorine,GPS location,GPS location2,e.coli,Total Dissolved Solids,Bicarbonates,Magnesium Hardness,Easting,Northing,Latitude,Longitude,Altitude,Field Temperature ,Source Type,Fluoride,GPS Latitude,GPS Longtude,GPSEasting,GPSNorthing,Dissolved Oxygen,Total Hardness as CaCO3,Magnesium hardness as CaCO3,Calcium,Silica,Mercury,Lead,Manganese
"Magafira ,mosque Shallow well",Masaba Igenge,Iwawu,Bulamagi,Iwawu,Iganga,E547731 N64050,E23/00075,162,4.9,1.67,1,12,26,15,0.12436,0.00502,38.72499,0.10471,4.0949,0.02535,4.28754,13,10,0.04,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
CMS shallow well,CMS,Bukoyo,Bulamagi,Bukoyo,Iganga,E550339 N65890,E23/00076,384,5.3,1.74,6,31,110,69,0.09494,0.05365,10.72362,0.02561,47.27937,0.10437,19.27067,26,9.9,0.07,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Resource centre Busoga University Borehole,Kasokoso estate,Kasokoso,Iganga municipality,Iganga municipality,Iganga,E552757 N67752,E23/00077,926,6,1.85,2,110,250,170,0.12398,0.19221,34.90636,2.03609,122,0.04292,36.42471,85,33,0.05,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Igulusa Shallow well,Igulusa,Bukaye,Nakalama,Kiguli South,Iganga,E553164  N70624,E23/00079,240,5.4,2.71,12,58,75,48,0.18074,0.0313,23.90872,0.08384,12.54319,0.10178,5.57916,13,12,0.03,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Mukama protected spring,Namungalwe T/C,Namungalwe,Namungalwe,Kiguli North,Iganga,E554297 N78825,E23/00081,151,5.9,2.41,20,44,53,29,0.18223,0.00573,1.89453,0.01444,4.32926,0.05082,8.13293,11,1.8,0.05,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Nambale B/H,Nambale,Nambale,Nambale,Kiguli North,Iganga,E556071 N86301,E23/00082,231,6,1.94,19,92,67,34,0.23051,0.00379,27.05817,0.03851,2.23657,0.14343,0.72995,24,5.1,<0.03,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Walumbe protected spring,Nambale,Nambale,Nambale,Kiguli North,Iganga,E556034 N86571,E23/00083,218,5.6,2.09,17,20,65,37,0.28664,0.00427,13.54606,0.04699,11.73569,0.25885,3.56057,17,3.6,<0.03,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Nabikoote Primary Sch Borehole DWD 24675,Nabikoote,Namunkesu,Namungalwe,kiguli North,Iganga,E553607 N77104,E23/00085,108,5.2,1.91,3,33,27,9.6,0.05591,0.00253,4.28733,<0.002,3.05577,0.08941,4.78982,13,3,0.09,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Busei Shallow well,Busei,Busei Central,Nakalama,Kiguli south,Iganga,E555219 N68380,E23/00087,276,5.4,1.85,2,48,50,30,0.08272,0.00418,24.66327,<0.002,15.5417,0.03739,9.70475,27,8,0.06,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
katwe protected spring ,Bumbajje,Kiyoora,Nakisonga,Kiyoora,Mukono,E484934 N27298,E23/00118,55,4.7,2.26,13,13,37,9.4,0.05034,0.00324,2.50244,0.00132,2.75375,0.03042,3.04827,2.4,1.2,0.24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiyoora health centre Borehole,Kiyoora,Kiyoora,Nakisonga,Mukono South,Mukono,E484135 N28694,E23/00119,47,5.2,58.6,621,6.2,21,9.8,0.18287,0.0018,8.28065,0.7069,5.04673,0.13696,0.15824,2.6,0.3,5.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulonda protected spring MKN/04/231,Bulonda,Ntanzi,Ntenjeru,Mukono South,Mukono,E480003 N28177,E23/00121,90,4.5,1.92,2,5,13,7.8,0.08335,0.00299,1.42719,<0.002,7.99557,0.02371,6.85782,7.2,3.3,0.27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Katosi Borehole,Katosi,Katosi,Katosi T/C,Mukono South,Mukono,E477748 N16822,E23/00122,434,4.9,1.93,<0.2432,8.4,67,44,0.09733,0.00484,6.75086,0.0145,49.71965,0.04084,26.61152,32,33,0.19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nakisunga protected spring MKN/04/395,Nakisunga,Kyabarogo,Nakisunga,Mukono south,Mukono,E477209 N31013,E23/00127,43,4.7,2.34,18,8.8,11,7.8,0.0809,0.00234,1.58269,0.04734,4.28958,0.01742,1.82294,2.6,1.7,0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
